ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠮᠠᠰᠢ ᠶᠡᠬᠡ ᠬᠢᠯᠢᠩᠨᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠵᠥᠪᠬᠡᠨ ᠠᠪᠢᠶ᠎ᠠ ᠦᠰᠦᠭ ᠪᠢᠴᠢᠭ ᠨᠢ ᠨᠢᠭᠤᠷ ᠤ᠋ᠨ ᠲᠥᠯᠥᠪ ᠪᠠᠢᠳᠠᠯ ᠢ᠋ ᠰᠢᠯᠵᠢᠭᠦᠯᠦᠨ ᠭᠠᠷᠭᠠᠵᠤ ᠴᠢᠳᠠᠬᠤ ᠶ᠋ᠢ ᠮᠡᠳᠡᠶ᠎ᠡ ᠭᠡᠵᠦ ᠪᠣᠳᠣᠵᠤ ᠪᠠᠢᠨ᠎ᠠ ᠤᠤ ? ᠡᠨᠡ ᠬᠡᠳᠦᠢ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠬᠤ ᠪᠣᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠠᠵᠢᠯ ᠢ᠋ ᠬᠢᠬᠦ ᠳ᠋ᠦ᠍ ᠪᠢ ᠵᠢᠭᠠᠬᠠᠨ ᠬᠢᠯᠢᠩ ᠬᠦᠷᠴᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢᠴᠢᠬᠠᠨ ᠠᠮᠢᠲᠠᠨ ᠢ᠋ ᠬᠠᠮᠠᠭᠠᠯᠠᠬᠤ ᠳ᠋ᠤ᠌ ᠴᠤ᠌ ᠪᠢᠳᠡ ᠡᠭᠦᠨ ᠦ᠌ ᠲᠥᠯᠥᠭᠡ ᠲᠣᠩ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠡᠯ᠎ᠡ ᠲᠠᠪᠴᠠᠩ ᠣᠨ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠵᠠᠷᠢᠮ ᠦᠶ᠎ᠡ ᠳ᠋ᠦ᠍ ᠭᠡᠨᠡᠳᠲᠡ ᠨᠢᠭᠡ ᠵᠢᠵᠢᠭ ᠰᠠᠵᠢᠭ ᠤᠴᠢᠷ ᠲᠤ᠌ ᠨᠥᠯᠥᠭᠡᠯᠡᠭᠳᠡᠨ ᠠᠭᠤᠷᠯᠠᠵᠤ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠰᠤᠷᠭᠠᠭᠤᠯᠢ ᠡᠬᠢᠯᠡᠬᠦ ᠬᠣᠢᠰᠢᠯᠠᠭᠰᠠᠨ ᠦᠭᠡᠢ ᠪᠣᠯ ᠮᠠᠷᠭᠠᠰᠢ ᠭᠡᠷ ᠲᠡᠭᠡᠨ ᠬᠠᠷᠢᠵᠤ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠨᠢᠭᠡᠨᠲᠡ ᠬᠢᠯᠢᠩᠯᠡᠵᠦ ᠡᠬᠢᠯᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠬᠣᠶᠠᠷ ᠡᠳᠦᠷ ᠵᠢᠭᠠᠬᠠᠨ ᠪᠤᠬᠢᠨᠢᠳᠤᠯ ᠲᠠᠢ ᠤᠴᠢᠷ ᠲᠠᠭᠠᠷᠠᠭᠰᠠᠨ ᠳ᠋ᠤ᠌ ᠵᠢᠭᠠᠬᠠᠨ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠮᠡᠬᠡᠯᠡᠬᠦ ᠠᠵᠢᠯᠯᠠᠭ᠎ᠠ ᠶ᠋ᠢᠨ ᠲᠤᠰ ᠪᠡᠶ᠎ᠡ ᠨᠢ ᠬᠥᠮᠦᠰ ᠦ᠋ᠨ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠢ᠋ ᠬᠦᠷᠭᠡᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠮᠢᠨᠦ ᠬᠢᠯᠢᠩ ᠵᠠᠭᠤᠨ ᠤ᠋ ᠵᠠᠭᠤ ᠪᠠᠷ ᠬᠦᠷᠴᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠮᠡᠬᠡᠯᠡᠭᠴᠢ ᠦᠨᠡᠬᠡᠷ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠢ᠋ ᠬᠦᠷᠭᠡᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠰᠢᠯᠵᠢᠭᠦᠯᠦᠨ ᠲᠠᠷᠬᠠᠭᠠᠭᠰᠠᠨ ᠬᠣᠶᠠᠷ ᠸᠧᠢ ᠪᠦᠸᠧ ᠨᠢ ᠨᠠᠳᠠ ᠶ᠋ᠢ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠡᠳᠦᠷ ᠪᠦᠷᠢ ᠮᠠᠰᠢ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠦᠰᠡᠯᠡᠩ ᠪᠠ ᠪᠣᠳᠠᠲᠤ ᠪᠠᠢᠳᠠᠯ ᠤ᠋ᠨ ᠵᠥᠷᠢᠶ᠎ᠡ ᠨᠢ ᠨᠠᠳᠠ ᠶ᠋ᠢ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠪᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠭᠦᠢᠴᠡᠳ ᠪᠠᠢᠬᠤ ᠨᠢ ᠮᠢᠨᠦ ᠪᠤᠷᠤᠭᠤ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠣᠷᠴᠢᠮ ᠦᠨᠡᠨ ᠡᠯ᠎ᠡ ᠵᠦᠢᠯ ᠦ᠋ᠨ ᠤᠴᠢᠷ ᠠᠭᠤᠷ ᠬᠦᠷᠦᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠰᠢᠲᠠᠯᠲᠠ ᠨᠢ ᠵᠥᠪᠬᠡᠨ ᠬᠤᠪᠴᠠᠰᠤ ᠬᠤᠨᠠᠷ ᠪᠠ ᠬᠥᠮᠦᠨ ᠳ᠋ᠦ᠍ ᠪᠠᠰᠠ ᠬᠡᠬᠦᠳᠡᠭ ᠳᠦᠭᠦᠷᠡᠩ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠪᠠᠢᠳᠠᠭ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠮᠠᠰᠢ ᠬᠢᠯᠢᠩᠨᠡᠳᠡᠭ ᠪᠣᠯᠪᠠᠴᠤ ᠂ ᠵᠥᠪᠬᠡᠨ ᠥᠪᠡᠷ ᠦ᠋ᠨ ᠬᠡᠦᠬᠡᠳ ᠢ᠋ᠶ᠋ᠡᠨ ᠰᠠᠢᠲᠤᠷ ᠬᠠᠮᠠᠭᠠᠯᠠᠵᠤ ᠴᠢᠳᠠᠳᠠᠭ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠰᠢᠷᠭᠤᠯᠵᠢ ᠶ᠋ᠢᠨ ᠣᠢ ᠰᠢᠭᠤᠢ ᠪᠣᠯ ᠮᠢᠨᠦ ᠬᠢᠯᠢᠩᠨᠡᠬᠦ ᠶ᠋ᠢᠨ ᠡᠬᠢᠯᠡᠯᠲᠡ ᠪᠣᠯᠤᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠦᠪᠡᠢ ᠮᠣᠵᠢ ᠶ᠋ᠢᠨ ᠬᠥᠮᠦᠰ ᠲᠦ᠍ ᠠᠭᠤᠷ ᠬᠦᠷᠴᠦ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠮᠠᠰᠢ ᠶᠡᠬᠡ ᠬᠢᠯᠢᠩᠨᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠥᠷᠥᠩᠭᠡ ᠶ᠋ᠢᠨ ᠬᠦᠴᠦᠲᠡᠨ ᠲᠣᠩ ᠬᠢᠯᠢᠩ ᠲᠥᠷᠥᠳᠡᠭ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠦᠷᠭᠦᠯᠵᠢᠯᠡᠨ ᠬᠢᠯᠢᠩᠨᠡᠬᠦ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠣᠷᠴᠢᠮ ᠵᠢᠭᠠᠬᠠᠨ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠬᠤ ᠨᠢ ᠢᠷᠡᠭᠡᠳᠦᠢ ᠶ᠋ᠢᠨ ᠬᠦᠰᠡᠯ ᠢ᠋ ᠣᠯᠵᠤ ᠦᠵᠡᠬᠦ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢ᠋ᠶ᠋ᠡᠨ ᠳᠠᠷᠤᠵᠤ ᠳᠠᠬᠢᠨ ᠨᠦᠬᠡᠨ ᠳ᠋ᠦ᠍ ᠤᠨᠠᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠪᠣᠯ ᠴᠢᠨᠦ ᠬᠦᠴᠦᠨ ᠮᠥᠨ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠰᠦᠯᠵᠢᠶᠡᠨ ᠦ᠌ ᠨᠠᠢᠵᠠ ᠨᠠᠷ ᠤ᠋ᠨ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢ᠋ᠶ᠋ᠡᠷ ᠴᠡᠪᠡᠷ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠪᠦᠷᠭᠢᠭᠡ ᠶ᠋ᠢ ᠬᠥᠭᠡᠭᠡᠴᠡᠯᠳᠦᠨ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠭᠦᠨ ᠢ ᠣᠯᠵᠤ ᠴᠢᠳᠠᠬᠤ ᠦᠭᠡᠢ ᠮᠥᠷᠲᠡᠭᠡᠨ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠲᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷᠯᠠᠭᠠᠳ ᠮᠢᠨᠦ ᠰᠢᠳᠦ ᠵᠠᠭᠠᠲᠤᠨᠠᠭᠠᠳ ᠦᠬᠦᠲᠡᠯ᠎ᠡ ᠠᠭᠤᠷᠯᠠᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠮᠠᠰᠢ ᠠᠭᠤᠷᠯᠠᠨ᠎ᠠ᠂ ᠲᠡᠳᠡᠨ ᠢ᠋ ᠬᠦᠷᠭᠡᠵᠦ ᠶᠠᠪᠤᠭᠤᠯᠬᠤ ᠭᠡᠵᠦ ᠰᠠᠨᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠡᠴᠡ ᠣᠶᠤᠨ ᠤᠬᠠᠭᠠᠨ ᠢ᠋ᠶ᠋ᠠᠨ ᠠᠯᠳᠠᠵᠤ ᠂ ᠰᠡᠳᠬᠢᠯ ᠲᠠᠢᠪᠤᠭᠤ ᠪᠥᠭᠡᠳ ᠶᠠᠷᠢᠯᠴᠠᠭ᠎ᠠ ᠬᠢᠵᠦ ᠴᠢᠳᠠᠬᠤ ᠦᠭᠡᠢ ᠪᠣᠯᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠢ᠋ᠶ᠋ᠠᠨ ᠵᠦᠯᠭᠦᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠬᠡᠳᠦᠢ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠬᠤ ᠪᠣᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠨᠢᠭᠡ ᠳ᠋ᠢᠶᠠᠩᠬᠤᠸᠠ ᠨᠢᠭᠡ ᠥᠷᠯᠥᠭᠡ ᠶ᠋ᠢᠨ ᠰᠡᠳᠬᠢᠯᠭᠡ ᠶ᠋ᠢ ᠨᠥᠯᠥᠭᠡᠯᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠷᠡ ᠨᠠᠮ᠎ᠠ ᠶ᠋ᠢ ᠮᠠᠰᠢ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠪᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠡᠨᠡ ᠦᠶ᠎ᠡ ᠳ᠋ᠦ᠍ ᠦᠨᠡᠬᠡᠷ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠰᠦᠯᠵᠢᠶᠡᠨ ᠦ᠌ ᠨᠠᠢᠵᠠ ᠤᠨ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠤᠭᠰᠠᠨ ᠨᠢ ᠴᠢ ᠡᠮᠡᠭᠲᠡᠢ ᠢ ᠳᠣᠷᠣᠮᠵᠢᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠩᠭᠢ ᠶ᠋ᠢᠨ ᠨᠥᠬᠥᠳ ᠦᠨᠡᠬᠡᠷ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠥᠨᠥᠳᠥᠷ ᠦ᠋ᠨ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠨᠢ ᠲᠣᠬᠢᠷᠠᠭᠤᠯᠤᠯᠲᠠ ᠬᠢᠵᠦ ᠡᠬᠢᠯᠡᠭᠰᠡᠨ ᠢ᠋ ᠣᠯᠵᠤ ᠬᠠᠷᠠᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠤᠬᠢᠨᠢᠳᠤᠵᠤ ᠦᠬᠦᠯ᠎ᠡ ᠴᠦ᠍ ᠭᠡᠰᠡᠨ ᠠᠭᠤᠷᠯᠠᠬᠤ ᠦᠶ᠎ᠡ ᠳ᠋ᠡᠭᠡᠨ ᠰᠡᠷᠢᠬᠦ ᠠᠭᠤᠷᠯᠠᠳᠠᠭ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠸᠧᠢ ᠪᠦᠸᠧ ᠶ᠋ᠢᠨ ᠳᠠᠪᠠᠯᠭᠠᠨ ᠥᠭᠰᠥᠬᠦ ᠮᠠᠰᠢ ᠣᠯᠠᠨ ᠤᠴᠢᠷ ᠪᠦᠷ ᠮᠢᠨᠦ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢ᠋ ᠳᠡᠭᠳᠡᠭᠡᠵᠦ ᠳᠡᠢᠯᠦᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠤᠰᠤᠳ ᠤ᠋ᠨ ᠬᠠᠷᠢᠶᠠᠬᠤ ᠶ᠋ᠢ ᠰᠣᠨᠣᠰᠤᠭᠠᠳ ᠮᠠᠰᠢ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷᠯᠠᠭᠰᠠᠨ ᠪᠢᠴᠢᠬᠠᠨ ᠮᠤᠤᠷ ᠪᠣᠯ ᠡᠰᠡᠷᠭᠦᠴᠡᠵᠦ ᠪᠣᠯᠬᠤ ᠦᠭᠡᠢ ᠦᠭᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠮᠢᠨᠦ ᠭᠠᠷᠭᠠᠭᠰᠠᠨ ᠤᠷᠮ᠎ᠠ ᠰᠡᠳᠬᠢᠯᠭᠡ ᠶ᠋ᠢᠨ ᠣᠯᠠᠩᠬᠢ ᠨᠢ ᠪᠦᠷ ᠬᠢᠯᠢᠩ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠰᠢᠭᠤᠳ ᠬᠢᠯᠢᠩᠨᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠢᠯᠢᠩᠨᠡᠵᠦ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠷᠡ ᠶᠡᠷᠦ ᠨᠢ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠢ᠋ᠶ᠋ᠡᠷ ᠳᠦᠭᠦᠷᠴᠡᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠷᠡ ᠥᠪᠡᠷ ᠦ᠋ᠨ ᠬᠦᠦ ᠪᠡᠨ ᠬᠢᠯᠢᠩᠨᠡᠨ ᠴᠣᠬᠢᠬᠤ ᠶ᠋ᠢ ᠦᠵᠡᠭᠡᠳ ᠦᠨᠡᠬᠡᠷ ᠦᠭᠡ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠸᠧᠢ ᠪᠦᠸᠧ ᠳᠡᠭᠡᠷ᠎ᠡ ᠪᠦᠷ ᠨᠢᠭᠡ ᠪᠦᠯᠦᠭ ᠬᠢᠯᠢᠩᠨᠡᠨ ᠠᠭᠤᠯᠠ ᠠᠭᠤᠯᠠ ᠶ᠋ᠢ ᠵᠢᠭᠠᠵᠤ ᠪᠠᠢᠭ᠎ᠠ ᠬᠥᠮᠦᠨ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠦᠨᠡᠬᠡᠷ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ  ᠶᠠᠭᠠᠬᠢᠭᠠᠳ ᠪᠠᠰᠠ ᠪᠤᠷᠤᠭᠤ ᠬᠦᠯᠢᠶᠡᠬᠦ ᠦᠭᠡᠢ ᠪᠣᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠥᠩᠭᠡᠷᠡᠭᠰᠡᠨ ᠦ᠌ ᠵᠢᠵᠢᠭ ᠰᠠᠵᠢᠭ ᠵᠦᠢᠯ ᠢ᠋ ᠡᠷᠭᠢᠴᠡᠭᠦᠯᠦᠨ ᠪᠣᠳᠣᠬᠤ ᠳ᠋ᠤ᠌ ᠰᠡᠳᠬᠢᠯ ᠳ᠋ᠦ᠍ ᠮᠥᠨ ᠯᠡ ᠬᠢᠯᠢᠩ ᠬᠣᠷᠣᠰᠤᠯ ᠣᠷᠣᠰᠢᠭᠰᠠᠭᠠᠷ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠠᠭᠤᠷᠯᠠᠪᠠᠯ ᠵᠢᠭᠠᠬᠠᠨ ᠶᠠᠭᠤᠮ᠎ᠠ ᠢᠳᠡᠪᠡᠯ ᠲᠠᠢᠪᠤᠭᠤ ᠪᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠪᠢ ᠬᠠᠮᠢᠭ᠎ᠠ ᠨᠢᠭᠡ ᠭᠠᠵᠠᠷ ᠥᠪᠡᠷ ᠦ᠋ᠨ ᠡᠷᠬᠡ ᠦᠭᠡᠢ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠬᠥᠮᠦᠨ ᠰᠦᠯᠵᠢᠶᠡᠨ ᠦ᠌ ᠨᠠᠢᠵᠠ ᠠᠭᠤᠷᠯᠠᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠤᠭ ᠭᠠᠷᠴᠠᠭ ᠢ᠋ ᠦᠵᠡᠭᠡᠳ ᠦᠨᠡᠬᠡᠷ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠨᠢᠭᠡ ᠲᠠᠯ᠎ᠠ ᠪᠠᠷ ᠬᠢᠯᠢᠩᠨᠡᠨ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠠᠰᠠ ᠳᠥᠷᠪᠡᠨ ᠰᠠᠷ᠎ᠠ ᠨᠡᠷ᠎ᠡ ᠰᠣᠯᠢᠬᠤ ᠳ᠋ᠤ᠌ ᠪᠠᠨ ᠮᠢᠨᠦ ᠨᠡᠷ᠎ᠡ ᠶ᠋ᠢ ᠪᠦᠷ ᠪᠣᠳᠣᠵᠤ ᠣᠯᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠷᠡ ᠡᠨᠡ ᠤᠴᠢᠷ ᠠ᠋ᠴᠠ ᠪᠣᠯᠵᠤ ᠶᠡᠷᠦ ᠨᠢ ᠠᠭᠤᠷ ᠬᠢᠯᠢᠩ ᠳᠣᠲᠣᠷ᠎ᠠ ᠰᠣᠭᠲᠣᠭᠤᠷᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠭᠦᠨ ᠡᠴᠡ ᠤᠷᠪᠠᠨ ᠲᠡᠷᠰᠯᠡᠬᠦ ᠳ᠋ᠦ᠍ ᠮᠠᠰᠢ ᠠᠭᠤᠷᠯᠠᠭᠰᠠᠨ ᠪᠠᠢᠵᠠᠢ 
